product_name,Negative,Neutral,Positive,total_reviews,pct_positive,pct_negative
B007JFMH8M,0,1,18,19,94.73684210526315,0.0
B001RVFEP2,3,1,11,15,73.33333333333333,20.0
B000VK8AVK,0,1,13,14,92.85714285714286,0.0
B000PDWBKO,0,2,12,14,85.71428571428571,0.0
B0007A0AQW,0,2,11,13,84.61538461538461,0.0
B0026RQTGE,2,0,11,13,84.61538461538461,15.384615384615385
B002QWP89S,2,2,9,13,69.23076923076923,15.384615384615385
B007M832YY,0,1,12,13,92.3076923076923,0.0
B006MONQMC,0,1,12,13,92.3076923076923,0.0
B0051COPH6,1,1,11,13,84.61538461538461,7.6923076923076925
B0013A0QXC,3,1,9,13,69.23076923076923,23.076923076923077
B001EO5Q64,1,0,12,13,92.3076923076923,7.6923076923076925
B0090X8IPM,0,0,12,12,100.0,0.0
B003QNLUTI,2,0,10,12,83.33333333333334,16.666666666666664
B003CIBPN8,1,0,11,12,91.66666666666666,8.333333333333332
B000NMJWZO,1,0,11,12,91.66666666666666,8.333333333333332
B0013NUGDE,1,2,9,12,75.0,8.333333333333332
B007Y59HVM,1,0,11,12,91.66666666666666,8.333333333333332
B002IEZJMA,0,0,12,12,100.0,0.0
B004SRH2B6,1,0,10,11,90.9090909090909,9.090909090909092
B002QWHJOU,0,1,10,11,90.9090909090909,0.0
B0026KNQSA,0,1,10,11,90.9090909090909,0.0
B008JKTH2A,0,1,9,10,90.0,0.0
B003VXL0V6,0,0,10,10,100.0,0.0
B000KV61FC,2,3,5,10,50.0,20.0
B0034EFIYC,0,0,10,10,100.0,0.0
B008FHUGNQ,0,1,9,10,90.0,0.0
B003B3OOPA,3,0,7,10,70.0,30.0
B000CNB4LE,2,3,5,10,50.0,20.0
B007TJGY46,0,0,10,10,100.0,0.0
B007M83302,0,0,10,10,100.0,0.0
B0018KLPFK,1,0,9,10,90.0,10.0
B003FDC2I2,0,2,8,10,80.0,0.0
B005K4Q4LK,0,0,9,9,100.0,0.0
B001AS1A4Q,0,1,8,9,88.88888888888889,0.0
B008RWUKXK,0,0,9,9,100.0,0.0
B002YJ0118,1,0,8,9,88.88888888888889,11.11111111111111
B005K4Q34S,0,1,8,9,88.88888888888889,0.0
B000GAT6NG,0,0,9,9,100.0,0.0
B008JKTTUA,0,1,8,9,88.88888888888889,0.0
B006HYLW32,0,1,8,9,88.88888888888889,0.0
B006N3IE6A,0,2,7,9,77.77777777777779,0.0
B001OCKIP0,0,0,9,9,100.0,0.0
B0041NYV8E,1,2,6,9,66.66666666666666,11.11111111111111
B0026KPDG8,1,0,8,9,88.88888888888889,11.11111111111111
B003VXFK44,1,0,8,9,88.88888888888889,11.11111111111111
B000UBD88A,0,2,7,9,77.77777777777779,0.0
B004SRFYMK,1,0,8,9,88.88888888888889,11.11111111111111
B000LKVD5U,1,1,6,8,75.0,12.5
B0034EDLS2,0,0,8,8,100.0,0.0
B000ENUC3S,0,0,8,8,100.0,0.0
B003QNJYXM,0,1,7,8,87.5,0.0
B003VXHGPK,1,1,6,8,75.0,12.5
B0029ZAOW8,2,0,6,8,75.0,25.0
B004391DK0,1,0,7,8,87.5,12.5
B003VXHGDM,2,0,6,8,75.0,25.0
B007TJGZ54,0,0,8,8,100.0,0.0
B002TSA91Q,0,1,7,8,87.5,0.0
B007I7YZJK,0,4,4,8,50.0,0.0
B002IEVJRY,0,1,7,8,87.5,0.0
B001TLY7BM,0,1,7,8,87.5,0.0
B004FGWU9O,0,1,7,8,87.5,0.0
B006N3I0N2,0,2,6,8,75.0,0.0
B007JFXWRC,0,0,8,8,100.0,0.0
B00020HHRW,1,1,6,8,75.0,12.5
B0061IUIDY,0,1,7,8,87.5,0.0
B001P3NU30,1,1,6,8,75.0,12.5
B000SDKDM4,1,0,7,8,87.5,12.5
B004U43ZO0,1,0,7,8,87.5,12.5
B000QSON4K,1,0,7,8,87.5,12.5
B0062A87HA,0,1,7,8,87.5,0.0
B000TQEWM2,0,1,7,8,87.5,0.0
B005K4Q37A,2,0,6,8,75.0,25.0
B000ET4SM8,2,0,6,8,75.0,25.0
B009E7YC54,0,1,7,8,87.5,0.0
B000H7LVKY,0,0,8,8,100.0,0.0
B000H0ZJIG,1,0,7,8,87.5,12.5
B008JKU2CO,1,1,6,8,75.0,12.5
B008BY7NSE,1,1,5,7,71.42857142857143,14.285714285714285
B0083T5TAQ,1,0,6,7,85.71428571428571,14.285714285714285
B000FFIL92,0,0,7,7,100.0,0.0
B003D4MW38,0,0,7,7,100.0,0.0
B005VOOM5E,0,0,7,7,100.0,0.0
B000BRR8VQ,0,0,7,7,100.0,0.0
B005HG9ERW,0,2,5,7,71.42857142857143,0.0
B005K4Q1YA,1,0,6,7,85.71428571428571,14.285714285714285
B005K4Q1T0,0,0,7,7,100.0,0.0
B000WVYB8Y,0,1,6,7,85.71428571428571,0.0
B001181NBA,0,0,7,7,100.0,0.0
B002QWP8H0,1,0,6,7,85.71428571428571,14.285714285714285
B002GKEK7G,1,0,6,7,85.71428571428571,14.285714285714285
B0047RQ9M0,0,0,7,7,100.0,0.0
B0045Z6K50,0,1,6,7,85.71428571428571,0.0
